,epochs,training_loss,lr,rec_train_losses,pde_train_losses,ic_train_losses,bc_train_losses,weight_rec,weight_pde,weight_ic,weight_bc
34,34,0.04744383168872446,0.001,0.0,0.049920863821171224,0.082411969313398,0.009998657536925748,1.0,1.0,1.0,1.0
35,35,0.04679633199702948,0.001,0.0,0.04910722584463656,0.0815709549933672,0.009710809856187552,1.0,1.0,1.0,1.0
36,36,0.04654699855018407,0.001,0.0,0.04906910355202854,0.08087547472678125,0.009696414839709178,1.0,1.0,1.0,1.0
37,37,0.046094511984847486,0.001,0.0,0.04896943853236735,0.07987561938352883,0.009438473614864051,1.0,1.0,1.0,1.0
38,38,0.04579242959152907,0.001,0.0,0.048464308376424015,0.07960516749881208,0.009307808766607195,1.0,1.0,1.0,1.0
39,39,0.04558017710223794,0.001,0.0,0.04865799320396036,0.07896070904098451,0.009121826005866751,1.0,1.0,1.0,1.0
40,40,0.045067253056913614,0.001,0.0,0.048057355801574886,0.07811761554330587,0.009026782063301653,1.0,1.0,1.0,1.0
41,41,0.04459522641263902,0.001,0.0,0.047602895414456725,0.07727253367193043,0.008910245247534476,1.0,1.0,1.0,1.0
42,42,0.04449871939141303,0.001,0.0,0.047904871171340346,0.07681209687143564,0.008779187744949013,1.0,1.0,1.0,1.0
43,43,0.043791853939183056,0.001,0.0,0.04675089137163013,0.07582000037655234,0.008804666751530021,1.0,1.0,1.0,1.0
44,44,0.04347897320985794,0.001,0.0,0.04657415871042758,0.07522019557654858,0.008642561151646078,1.0,1.0,1.0,1.0
45,45,0.04339113738387823,0.001,0.0,0.04685509705450386,0.07487445115111768,0.008443860948318616,1.0,1.0,1.0,1.0
46,46,0.043108288664370775,0.001,0.0,0.046307407203130424,0.07455215393565595,0.008465300867101178,1.0,1.0,1.0,1.0
47,47,0.04228122008498758,0.001,0.0,0.045863125124014914,0.0727638287935406,0.008216702262870967,1.0,1.0,1.0,1.0
48,48,0.04196202801540494,0.001,0.0,0.04571952298283577,0.07202462060377002,0.008141936690662988,1.0,1.0,1.0,1.0
49,49,0.04186452191788703,0.001,0.0,0.04541826026979834,0.07218281691893935,0.00799248537805397,1.0,1.0,1.0,1.0
50,50,0.04169475904200226,0.001,0.0,0.04509987903293222,0.07193831820040941,0.008046078044571914,1.0,1.0,1.0,1.0
51,51,0.04107958450913429,0.001,0.0,0.04458197671920061,0.07075133011676371,0.007905443577328697,1.0,1.0,1.0,1.0
52,52,0.04075440182350576,0.001,0.0,0.04462615225929767,0.06985162757337093,0.007785421374137513,1.0,1.0,1.0,1.0
53,53,0.040639016195200384,0.001,0.0,0.044493136927485466,0.06962250010110438,0.007801407598890364,1.0,1.0,1.0,1.0
54,54,0.04024152597412467,0.001,0.0,0.04422291414812207,0.06888238689862192,0.007619273863383569,1.0,1.0,1.0,1.0
55,55,0.03945514652878046,0.001,0.0,0.04351240408141166,0.06735894561279565,0.007494086472433992,1.0,1.0,1.0,1.0
